1,2,state,id,Crime_rate,Crime_no
Assault on women with intent to outrage her modesty,8328.159728032566,Andhra Pradesh,28,9.836540836555729,8328.159728032566
Assault on women with intent to outrage her modesty,104.41300749635295,Arunanchal Pradesh,12,7.551872,104.41300749635295
Assault on women with intent to outrage her modesty,5121.535915545505,Assam,18,16.431362001478586,5121.535915545505
Assault on women with intent to outrage her modesty,361.1669396517035,Bihar,10,0.3479294857046738,361.1669396517035
Assault on women with intent to outrage her modesty,2126.6390570413755,Chhattisgarh,22,8.326635617993595,2126.6390570413755
Assault on women with intent to outrage her modesty,148.633322988392,Goa,30,10.196266573854704,148.633322988392
Assault on women with intent to outrage her modesty,798.172263232251,Gujarat,24,1.321835553226863,798.172263232251
Assault on women with intent to outrage her modesty,1918.598211864019,Haryana,6,7.567515016672013,1918.598211864019
Assault on women with intent to outrage her modesty,454.8127380542925,Himachal Pradesh,2,6.633298928861501,454.8127380542925
Assault on women with intent to outrage her modesty,1343.7882709620649,Jammu & Kashmir,1,10.708392662145469,1343.7882709620649
Assault on women with intent to outrage her modesty,825.4460777892111,Jharkhand,20,2.503913481996979,825.4460777892111
Assault on women with intent to outrage her modesty,4390.736912991981,Karnataka,29,7.182539420766332,4390.736912991981
Assault on women with intent to outrage her modesty,4492.219412988507,Kerala,32,13.454722869723783,4492.219412988507
Assault on women with intent to outrage her modesty,7051.120793754689,Madhya Pradesh,23,9.712613355220231,7051.120793754689
Assault on women with intent to outrage her modesty,13957.387936903768,Maharashtra,27,12.42059161423956,13957.387936903768
Assault on women with intent to outrage her modesty,88.68662677552364,Manipur,14,3.2584341423523506,88.68662677552364
Assault on women with intent to outrage her modesty,103.49914906077413,Meghalaya,17,3.491865878210616,103.49914906077413
Assault on women with intent to outrage her modesty,81.3886273351751,Mizoram,15,7.459906778022564,81.3886273351751
Assault on women with intent to outrage her modesty,9.603649471065035,Nagaland,13,0.48488537682305854,9.603649471065035
Assault on women with intent to outrage her modesty,7435.207912402037,Odisha,21,17.713749693685866,7435.207912402037
Assault on women with intent to outrage her modesty,1139.9558795665287,Punjab,3,4.114734943661787,1139.9558795665287
Assault on women with intent to outrage her modesty,4689.441471871388,Rajasthan,8,6.833827329552335,4689.441471871388
Assault on women with intent to outrage her modesty,18.730458362404228,Sikkim,11,3.0822491743138296,18.730458362404228
Assault on women with intent to outrage her modesty,1047.1216925194246,Tamil Nadu,33,1.451534263247086,1047.1216925194246
Assault on women with intent to outrage her modesty,175.25725067621585,Tripura,16,4.774059465464094,175.25725067621585
Assault on women with intent to outrage her modesty,7661.5595584123,Uttar Pradesh,9,3.838812936739766,7661.5595584123
Assault on women with intent to outrage her modesty,268.97004280102146,Uttarakhand,5,2.6586600403076153,268.97004280102146
Assault on women with intent to outrage her modesty,4257.57110518311,West Bengal,19,4.660839219029041,4257.57110518311
Assault on women with intent to outrage her modesty,57.0,Andaman & Nicobar Island,35,15.002210852125577,57.0
Assault on women with intent to outrage her modesty,108.27201571531987,Chandigarh,4,10.265805719931794,108.27201571531987
Assault on women with intent to outrage her modesty,5865.512557641094,Arunanchal Pradesh,12,7.551872,5865.512557641094
Assault on women with intent to outrage her modesty,3.420763859534034,Lakshadweep,31,5.309354265212923,3.420763859534034
Assault on women with intent to outrage her modesty,36.307496969660654,Puducherry,34,2.9175208740197105,36.307496969660654
Assault on women with intent to outrage her modesty,8328.159728032566,Telangana,0,9.836540836555729,8328.159728032566
