1,2,state,id,Crime_rate,Crime_no
Kidnapping and Abduction,1276.5497005171321,Andhra Pradesh,28,1.5077560552499354,1276.5497005171321
Kidnapping and Abduction,137.10016930532282,Arunanchal Pradesh,12,9.916033,137.10016930532282
Kidnapping and Abduction,4655.029317992927,Assam,18,14.934674502480927,4655.029317992927
Kidnapping and Abduction,5613.354778618294,Bihar,10,5.4076146700636265,5613.354778618294
Kidnapping and Abduction,1412.3838102639486,Chhattisgarh,22,5.530042957634109,1412.3838102639486
Kidnapping and Abduction,72.80254161085162,Goa,30,4.994264452907145,72.80254161085162
Kidnapping and Abduction,1756.6026429725293,Gujarat,24,2.9090710531214343,1756.6026429725293
Kidnapping and Abduction,2544.5941692914917,Haryana,6,10.03662698545984,2544.5941692914917
Kidnapping and Abduction,301.21856200570204,Himachal Pradesh,2,4.393176790196032,301.21856200570204
Kidnapping and Abduction,1038.3144987879489,Jammu & Kashmir,1,8.274130382057788,1038.3144987879489
Kidnapping and Abduction,965.4197615345248,Jharkhand,20,2.92851056142507,965.4197615345248
Kidnapping and Abduction,1782.922704004006,Karnataka,29,2.91657479358328,1782.922704004006
Kidnapping and Abduction,197.89169705534437,Kerala,32,0.5927087920951924,197.89169705534437
Kidnapping and Abduction,453.48122341235285,Madhya Pradesh,23,0.6246507350657737,453.48122341235285
Kidnapping and Abduction,8318.94809513846,Maharashtra,27,7.402979512848036,8318.94809513846
Kidnapping and Abduction,73.27241433131152,Manipur,14,2.692100773592913,73.27241433131152
Kidnapping and Abduction,61.35261693502291,Meghalaya,17,2.0699214588569768,61.35261693502291
Kidnapping and Abduction,6.429856067182951,Mizoram,15,0.589346797308096,6.429856067182951
Kidnapping and Abduction,24.138702014974996,Nagaland,13,1.218755813382749,24.138702014974996
Kidnapping and Abduction,2902.447724405687,Odisha,21,6.914834540587956,2902.447724405687
Kidnapping and Abduction,1372.3204409271736,Punjab,3,4.953467913452562,1372.3204409271736
Kidnapping and Abduction,4115.843312530959,Rajasthan,8,5.997934441029461,4115.843312530959
Kidnapping and Abduction,16.453433926407644,Sikkim,11,2.7075462945471434,16.453433926407644
Kidnapping and Abduction,1290.827880392859,Tamil Nadu,33,1.7893630795067195,1290.827880392859
Kidnapping and Abduction,114.01714189976474,Tripura,16,3.105860747053274,114.01714189976474
Kidnapping and Abduction,10305.199385356835,Uttar Pradesh,9,5.163404710827365,10305.199385356835
Kidnapping and Abduction,443.9861572650665,Uttarakhand,5,4.3886235153838555,443.9861572650665
Kidnapping and Abduction,6728.959561056345,West Bengal,19,7.366312352893283,6728.959561056345
Kidnapping and Abduction,21.0,Andaman & Nicobar Island,35,5.527130313941003,21.0
Kidnapping and Abduction,130.88326913635538,Chandigarh,4,12.409690574858809,130.88326913635538
Kidnapping and Abduction,4559.285452620212,Arunanchal Pradesh,12,9.916033,4559.285452620212
Kidnapping and Abduction,0.0,Lakshadweep,31,0.0,0.0
Kidnapping and Abduction,26.95424205842334,Puducherry,34,2.165931843622904,26.95424205842334
Kidnapping and Abduction,1276.5497005171321,Telangana,0,1.5077560552499354,1276.5497005171321
